"","YYYY","MM","DD","WTMP","Date","WTMP_K"
"146",2015,3,2,-0.233333333333333,2015-03-02,272.916666666667
"147",2001,4,2,7.47083333333333,2001-04-02,280.620833333333
"148",2003,4,2,7.675,2003-04-02,280.825
"149",2006,4,2,9.85,2006-04-02,283
"150",2008,4,2,8.92916666666667,2008-04-02,282.079166666667
"151",2010,4,2,10.0958333333333,2010-04-02,283.245833333333
"152",2011,4,2,7.10416666666667,2011-04-02,280.254166666667
"153",2012,4,2,11.2083333333333,2012-04-02,284.358333333333
"154",2013,4,2,7.12083333333333,2013-04-02,280.270833333333
"155",2014,4,2,6.0625,2014-04-02,279.2125
"156",2001,5,2,15.4375,2001-05-02,288.5875
"157",2003,5,2,15.0375,2003-05-02,288.1875
"158",2006,5,2,15.0583333333333,2006-05-02,288.208333333333
"159",2008,5,2,15.0458333333333,2008-05-02,288.195833333333
"160",2010,5,2,15.6291666666667,2010-05-02,288.779166666667
"161",2011,5,2,15.975,2011-05-02,289.125
"162",2012,5,2,15.55,2012-05-02,288.7
"163",2013,5,2,14.7041666666667,2013-05-02,287.854166666667
"164",2014,5,2,13.3041666666667,2014-05-02,286.454166666667
"165",2015,5,2,13.7125,2015-05-02,286.8625
"166",2001,6,2,19.2666666666667,2001-06-02,292.416666666667
"167",2003,6,2,15.7416666666667,2003-06-02,288.891666666667
"168",2006,6,2,22.3583333333333,2006-06-02,295.508333333333
"169",2008,6,2,19.8083333333333,2008-06-02,292.958333333333
"170",2010,6,2,22.7541666666667,2010-06-02,295.904166666667
"171",2011,6,2,24.4875,2011-06-02,297.6375
"172",2012,6,2,23.1791666666667,2012-06-02,296.329166666667
"173",2013,6,2,21.6272727272727,2013-06-02,294.777272727273
"174",2014,6,2,20.05,2014-06-02,293.2
"175",2015,6,2,22.9291666666667,2015-06-02,296.079166666667
"176",2001,7,2,24.46,2001-07-02,297.61
"177",2003,7,2,24.1166666666667,2003-07-02,297.266666666667
"178",2006,7,2,25.825,2006-07-02,298.975
"179",2008,7,2,25.4041666666667,2008-07-02,298.554166666667
"180",2010,7,2,25.2875,2010-07-02,298.4375
"181",2011,7,2,25.95,2011-07-02,299.1
"182",2012,7,2,25.925,2012-07-02,299.075
"183",2013,7,2,25.625,2013-07-02,298.775
"184",2014,7,2,25.675,2014-07-02,298.825
"185",2015,7,2,24.7083333333333,2015-07-02,297.858333333333
"186",2001,8,2,25.0375,2001-08-02,298.1875
"187",2003,8,2,25.6875,2003-08-02,298.8375
"188",2006,8,2,29.5708333333333,2006-08-02,302.720833333333
"189",2008,8,2,27.4875,2008-08-02,300.6375
"190",2010,8,2,27.3875,2010-08-02,300.5375
"191",2011,8,2,28.4583333333333,2011-08-02,301.608333333333
"192",2012,8,2,27.8916666666667,2012-08-02,301.041666666667
"193",2013,8,2,25.9708333333333,2013-08-02,299.120833333333
"194",2014,8,2,25.15,2014-08-02,298.3
"195",2015,8,2,27.4833333333333,2015-08-02,300.633333333333
"196",2006,9,2,23.575,2006-09-02,296.725
"197",2008,9,2,24.9375,2008-09-02,298.0875
"198",2010,9,2,27.2875,2010-09-02,300.4375
"199",2011,9,2,24.6375,2011-09-02,297.7875
"200",2012,9,2,27.1791666666667,2012-09-02,300.329166666667
"201",2013,9,2,26.3125,2013-09-02,299.4625
"202",2014,9,2,26.45,2014-09-02,299.6
"203",2015,9,2,26.8,2015-09-02,299.95
"204",2003,10,2,20.3666666666667,2003-10-02,293.516666666667
"205",2006,10,2,20.5666666666667,2006-10-02,293.716666666667
"206",2008,10,2,20.8125,2008-10-02,293.9625
"207",2010,10,2,21.8666666666667,2010-10-02,295.016666666667
"208",2011,10,2,20.4416666666667,2011-10-02,293.591666666667
"209",2012,10,2,21.475,2012-10-02,294.625
"210",2013,10,2,21.65,2013-10-02,294.8
"211",2014,10,2,22.1666666666667,2014-10-02,295.316666666667
"212",2015,10,2,21.3,2015-10-02,294.45
"213",2001,11,2,15.2291666666667,2001-11-02,288.379166666667
"214",2003,11,2,15.0875,2003-11-02,288.2375
"215",2006,11,2,13.65,2006-11-02,286.8
"216",2008,11,2,13.5875,2008-11-02,286.7375
"217",2010,11,2,14.6541666666667,2010-11-02,287.804166666667
"218",2011,11,2,13.6666666666667,2011-11-02,286.816666666667
"219",2012,11,2,13.475,2012-11-02,286.625
