"location","Observation","Predicted","RMSE","Pearson","Factor2_Percentage","NumTrees","Mtry","SplitRule","MinNodeSize"
"Passaic River",5403.42,4564.79009200141,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",31272.386,16195.6497243619,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",554.4,902.15471094518,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",562.04,945.51661083951,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",8113.5,2007.8099179313,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",6162.97,2893.12464292805,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",40.72,23.1181284932846,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",1952.08,2387.64309490181,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2255.63,2049.7567537344,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",1796.52,1306.2821410972,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",1014.18,1140.90285874994,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2754.4,3633.68227130509,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2782.5,2357.31046685658,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2993.81,1852.36172818312,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",1021.4,759.884379918777,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2038.24,2721.8973621752,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2303.41,2721.8973621752,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",3775.14,3311.91893626243,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",3235.53,3171.51360578284,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2787.9,2286.74263420239,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2848.42,2867.3315799699,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",3231.51,2692.76123063924,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2646.49,2253.83364022192,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2812.82,2312.53518638233,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",2658.47,2312.53518638233,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
"Passaic River",3088.4,1339.66334333615,0.218984972486118,0.950179543313519,85.0828729281768,5000,6,"variance",5
