"","YY","MM","DD","WTMP","WTMP_K","Date"
"202",95,11,9,9.30416666666667,282.454166666667,1995-11-09
"203",93,4,10,2.02916666666667,275.179166666667,1993-04-10
"204",94,4,10,0.9875,274.1375,1994-04-10
"205",95,4,10,2.32916666666667,275.479166666667,1995-04-10
"206",93,5,10,2.67916666666667,275.829166666667,1993-05-10
"207",94,5,10,2.12916666666667,275.279166666667,1994-05-10
"208",95,5,10,3.01666666666667,276.166666666667,1995-05-10
"209",93,6,10,3.99166666666667,277.141666666667,1993-06-10
"210",94,6,10,3.47916666666667,276.629166666667,1994-06-10
"211",95,6,10,5.30833333333333,278.458333333333,1995-06-10
"212",93,7,10,15.4166666666667,288.566666666667,1993-07-10
"213",94,7,10,11.8695652173913,285.019565217391,1994-07-10
"214",95,7,10,16.625,289.775,1995-07-10
"215",93,8,10,18.7875,291.9375,1993-08-10
"216",94,8,10,16.3125,289.4625,1994-08-10
"217",95,8,10,21.8333333333333,294.983333333333,1995-08-10
"218",94,9,10,17.3,290.45,1994-09-10
"219",95,9,10,19.3041666666667,292.454166666667,1995-09-10
"220",93,10,10,11.8166666666667,284.966666666667,1993-10-10
"221",94,10,10,14.6391304347826,287.789130434783,1994-10-10
"222",95,10,10,13.5652173913043,286.715217391304,1995-10-10
"223",95,11,10,9.31304347826087,282.463043478261,1995-11-10
"224",93,4,11,1.80416666666667,274.954166666667,1993-04-11
"225",94,4,11,0.754166666666667,273.904166666667,1994-04-11
"226",95,4,11,2.425,275.575,1995-04-11
"227",93,5,11,2.6875,275.8375,1993-05-11
"228",94,5,11,2.15416666666667,275.304166666667,1994-05-11
"229",95,5,11,3.2,276.35,1995-05-11
"230",93,6,11,4.84782608695652,277.997826086956,1993-06-11
"231",94,6,11,3.46666666666667,276.616666666667,1994-06-11
"232",95,6,11,4.87083333333333,278.020833333333,1995-06-11
"233",93,7,11,16.6416666666667,289.791666666667,1993-07-11
"234",94,7,11,11.5125,284.6625,1994-07-11
"235",95,7,11,17.1041666666667,290.254166666667,1995-07-11
"236",93,8,11,20.0666666666667,293.216666666667,1993-08-11
"237",94,8,11,16.925,290.075,1994-08-11
"238",95,8,11,22.0333333333333,295.183333333333,1995-08-11
"239",94,9,11,17.425,290.575,1994-09-11
"240",95,9,11,19.1833333333333,292.333333333333,1995-09-11
"241",93,10,11,11.4541666666667,284.604166666667,1993-10-11
"242",94,10,11,14.6391304347826,287.789130434783,1994-10-11
"243",95,10,11,13.5083333333333,286.658333333333,1995-10-11
"244",95,11,11,9.22916666666667,282.379166666667,1995-11-11
"245",93,4,12,1.88333333333333,275.033333333333,1993-04-12
"246",94,4,12,0.933333333333333,274.083333333333,1994-04-12
"247",95,4,12,2.5,275.65,1995-04-12
"248",93,5,12,2.65416666666667,275.804166666667,1993-05-12
"249",94,5,12,2.25,275.4,1994-05-12
"250",95,5,12,3.27916666666667,276.429166666667,1995-05-12
"251",93,6,12,5.21666666666667,278.366666666667,1993-06-12
