"location","Observation","Predicted","RMSE","Pearson","Factor2_Percentage","NumTrees","Mtry","SplitRule","MinNodeSize"
"Housatonic River",5e+05,287766.12828007,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,104372.090902049,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",60000,75069.3874520746,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",70000,85396.4148436806,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,75069.3874520746,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,70661.5021914084,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",60000,81673.8860690113,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",70000,92355.8338631408,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",80000,66726.2800930316,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",140000,110754.305444693,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",170000,91732.1093729741,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",90000,138150.337932599,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,160970.729219314,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",220000,234603.059526924,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",97000,146818.504552337,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",110000,925076.564590162,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",120000,728234.727959795,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",80000,643325.242554261,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",79000,123242.401621646,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",110000,132460.27305486,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",240000,359363.807715698,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",82000,251946.359112177,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",220000,257653.525962026,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",130000,115417.598846851,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",3e+05,320397.277530011,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",260000,236830.339657634,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",8e+05,416383.95198071,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",83000,97203.3770776437,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",147000,245977.141944295,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",79000,101678.502358608,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
